date	edited_by	job	researched_by	source	state	statement	subjects	truth
2010-01-15	Brenda Bell	Republican	W. Gardner Selby	Kay Bailey Hutchison	Texas	Says Gov. Rick Perry was for Wall Street bailout before he was against it.	['Economy', 'Federal Budget']	3
2010-01-15	Bill Adair	Republican	Robert Farley	Karl Rove	Texas	"The Obama administration ""raised discretionary spending by 24 percent from President George W. Bush's last full-year budget and will run up more debt by October than Bush did in eight years."""	['Federal Budget', 'Stimulus']	3
2010-01-15	Bill Adair		Catharine Richert	David Axelrod		When President Bush took office in 2001, he inherited a $236 billion budget surplus, with a projected 10-year surplus of $5.6 trillion. When he ended his term, he left a $1.3 trillion deficit and a projected 10-year shortfall of $8 trillion.	['Federal Budget']	4
2010-01-15	Brenda Bell	Republican	Ciara O'Rourke	Rick Perry	Texas	Says Kay Bailey Hutchison voted for sanctuary cities.	['Immigration']	1
2010-01-15	W. Gardner Selby	Republican	Ciara O'Rourke	Kay Bailey Hutchison	Texas	"""We definitely lost way more jobs in Texas this year than we gained — we lost 300,000 jobs in Texas alone this year."""	['Economy']	5
2010-01-15	Amy Hollyfield	Democrat	Aaron Sharockman	Alex Sink	Florida	"""No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle."""	['Florida']	5
2010-01-15	Brenda Bell	Democrat	W. Gardner Selby	Hector Uribe	Texas	Says Land Commissioner Jerry Patterson threatened to shoot him.	['Guns']	0
2010-01-15	Brenda Bell, W. Gardner Selby	Democrat	Ciara O'Rourke	Texas Democratic Party	Texas	"Says Rick Perry's ""Pay to Play"" politics led him to send $899 million to an offshore call center in Bermuda, driving down enrollment in children's health insurance"	['Health Care']	1
2010-01-13	Brenda Bell	Republican	W. Gardner Selby	Rick Perry	Texas	"""Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly."""	['Health Care']	0
2010-01-13	Brenda Bell	Democrat	Meghan Ashford-Grooms	Bill White	Texas	"During his tenure as mayor, he ""saw Houston’s crime rates drop to the lowest levels in more than 25 years."""	['Crime']	5
2010-01-13	W. Gardner Selby	Republican	Ciara O'Rourke	Rick Perry	Texas	"""More than 1,000 people ... move to Texas every day."""	['Census', 'Immigration', 'States']	4
2010-01-12	Greg Joyce	Republican	Kevin Robillard	Newt Gingrich	Georgia	"A recent Obama executive order could ""lead to a number of investigations by Interpol in the United States, potentially aimed at American officials."""	['Foreign Policy', 'Homeland Security']	0
2010-01-12	Amy Hollyfield	Democrat	Aaron Sharockman	Kendrick Meek	Florida	"""A number of the national publications have put this race in a tossup race between Democrats and Republicans. They don't know who's going to win this race."""	['Florida']	2
2010-01-12	Brenda Bell		Meghan Ashford-Grooms	Barbara Ann Radnofsky		"""The attorney general requires that rape victims pay for the rape kit."""	['Crime', 'Women']	0
2010-01-12	Bill Adair	Republican	Ciara O'Rourke	Kay Bailey Hutchison	Texas	"Says she has ""quadrupled agents to secure our border."""	['Immigration']	2
2010-01-12	Bill Adair	Republican	W. Gardner Selby	Rick Perry	Texas	Says approximately 70 percent of jobs created in the United States in November 2007-2008 were in Texas.	['Economy', 'Elections', 'Job Accomplishments', 'Workers']	1
2010-01-12	Bill Adair	Democrat	W. Gardner Selby	Hank Gilbert	Texas	"Says a careless attitude and ""poor oversight by the Texas Department of Agriculture"" led to deaths and illnesses traced to a Texas peanut plant."	['Agriculture', 'Consumer Safety']	3
2010-01-12	Brenda Bell	Republican	Ciara O'Rourke	Republican Party of Texas	Texas	Says Bill White is for gay marriage.	['Gays and Lesbians', 'Marriage']	1
2010-01-12	Bill Adair	Republican	Meghan Ashford-Grooms	Lamar Smith	Texas	“Illegal immigrants currently occupy 8 million jobs.”	['Economy', 'Immigration']	4
2010-01-12	W. Gardner Selby	Democrat	Ciara O'Rourke	Farouk Shami	Texas	"Says he ""brought 1,200 jobs to Texas by moving his factories here from China."""	['Economy', 'Job Accomplishments']	3
2010-01-12	Brenda Bell	Democrat	Ciara O'Rourke	Marc Katz	Texas	"""Texas is LAST (50th) in spending for mental health care."""	['Health Care', 'State Budget']	4
2010-01-11	Amy Hollyfield	Republican	Aaron Sharockman	George LeMieux	Florida	"""Why is January 8th an important date in American history? This day in 1835 is the only day in our history when we have not been in debt."""	['Federal Budget', 'Florida']	4
2010-01-08	Amy Hollyfield	Republican	Aaron Sharockman	Rudy Giuliani	New York	"""We had no domestic attacks under Bush."""	['Homeland Security', 'Terrorism']	0
2010-01-07	Bill Adair	Independent	Louis Jacobson	Michael Bloomberg	New York	"""Most of the people that work in finance make $70,000, $80,000 a year."""	['Corporations']	3
2010-01-06	Greg Joyce	Republican	Catharine Richert	Chuck Grassley	Iowa	"""I haven't missed a vote since 1993."""	['History']	5
2010-01-05	Amy Hollyfield	Democrat	Aaron Sharockman	Charlie Crist	Florida	"""President Obama has broken his pledge to the American people to be transparent throughout (health care reform negotiations)."""	['Florida', 'Health Care']	5
2010-01-04	Bill Adair	None	Louis Jacobson	Dana Milbank	Washington, D.C.	"""Americans admire Glenn Beck more than they admire the pope."""	['Pundits', 'Religion']	2
2010-01-03	Amy Hollyfield		Bill Adair	Dick Cheney		"President Obama ""doesn't ... want to admit we're at war."""	['Terrorism']	0
2009-12-23	Amy Hollyfield	Republican	Aaron Sharockman	Karl Rove	Texas	"""In Florida, Sen. Bill Nelson ... got a $25 billion to $30 billion carve-out for Medicare Advantage patients in their state."""	['Florida', 'Health Care', 'Medicare']	2
2009-12-23	Amy Hollyfield	Democrat	Robert Farley	Ben Nelson	Nebraska	"A Medicaid provision added to the Senate health care reform bill ""is not a special deal for Nebraska."""	['Health Care']	1
2009-12-23	Angie Drobnic Holan	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"""I didn't campaign on a public option."""	['Elections', 'Health Care']	2
2009-12-21	Amy Hollyfield	Democrat	Aaron Sharockman	Charlie Crist	Florida	"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida."""	['Florida']	5
2009-12-21	Greg Joyce	Democrat	Aaron Sharockman	Charlie Crist	Florida	"When Charlie Crist was elected governor, Florida ranked 31st in K-12 education. ""Last year ... we went from 31st to 14. And this year, the top 10 in America."""	['Education', 'Florida']	3
2009-12-18	Amy Hollyfield	Democrat	Robert Farley	Barack Obama	Illinois	"Health care reform plans being consided in Congress ""will finally reduce the costs of health care."""	['Health Care']	3
2009-12-17	Greg Joyce	Republican	Louis Jacobson	Karl Rove	Texas	"President Obama has ""the worst ratings of any president at the end of his first year."""	['History', 'Job Accomplishments']	4
2009-12-15	Greg Joyce	Democrat	Louis Jacobson	Tom Harkin	Iowa	"""Today and every day, an estimated 14,000 Americans will lose their health insurance coverage."""	['Health Care', 'Workers']	1
2009-12-14	Greg Joyce	Democrat	Robert Farley	Barack Obama	Illinois	"""We've created or saved up to 1.6 million jobs, according to the CBO -- the Congressional Budget Office -- through the Recovery Act."""	['Economy', 'Stimulus']	3
2009-12-11	Greg Joyce	Republican	Catharine Richert	James Inhofe	Oklahoma	"The Climatic Research Unit e-mails show that the science behind climate change ""has been pretty well debunked."""	['Climate Change', 'Environment']	1
2009-12-11	Greg Joyce	Republican	Catharine Richert	Sarah Palin	Alaska	"""President Obama's proposal calls for serious cuts in our own long-term carbon emissions,"" but China and India will still be allowed to increase their emissions."	['Climate Change', 'Energy', 'Environment']	5
2009-12-10	Greg Joyce		Louis Jacobson	Rush Limbaugh		"A recent drop in the unemployment rate is questionable because it was calculated ""over two days of the Thanksgiving week."""	['Economy', 'Pundits', 'Workers']	1
2009-12-09	Greg Joyce		Catharine Richert	Eugene Robinson		"The ""post-Soviet industrial meltdown is responsible for most of the progress in reducing carbon emissions that Europe is able to claim."""	['Climate Change', 'Environment', 'Pundits']	4
2009-12-08	Greg Joyce	Republican	Robert Farley	Mike Pence	Indiana	"""To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law."""	['Economy', 'Federal Budget', 'Stimulus']	3
2009-12-08	Greg Joyce	Republican	Robert Farley	Bobby Jindal	Louisiana	"""I'm predicting (the Saints) will go not only undefeated, but all the way through the Super Bowl -- something that's never been done before."""	['Recreation']	1
2009-12-07	Greg Joyce		Louis Jacobson	Glenn Beck		"Labor union president Andy Stern is ""the most frequent visitor"" at the White House."	['Ethics', 'Pundits']	1
2009-12-07	Greg Joyce	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy."""	['Economy', 'Foreign Policy']	1
2009-12-04	Greg Joyce	Democrat	Angie Drobnic Holan	Alan Grayson	Florida	"""In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there."""	['Afghanistan']	2
2009-12-04	Bill Adair		Catharine Richert	John Murtha		"""We're going to have more troops (in Afghanistan) . . . than the Russians had."""	['Afghanistan']	2
2009-12-03	Bill Adair	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"""In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror."""	['Afghanistan']	4
2009-12-02	Bill Adair		Louis Jacobson	Glenn Beck		"Less than 10 percent of Obama's Cabinet appointees ""have any experience in the private sector."""	['Economy', 'Pundits']	1
2009-12-02	Catharine Richert	Republican	Catharine Richert	Mitch McConnell	Kentucky	The Senate health care bill does not contain limits on medical malpractice lawsuits.	['Health Care']	5
2009-12-01	Greg Joyce	Republican	Robert Farley	Mike Pence	Indiana	"Under the Democratic health plan, families ""will be forced to spend an additional $2,100 a year to keep their current health care."""	['Health Care']	2
2009-12-01	Greg Joyce		Louis Jacobson	Keith Olbermann		"A new Republican litmus test ""would have resulted in (the GOP) kicking out Ronald Reagan."""	['History', 'Pundits']	3
2009-11-30	Greg Joyce		Robert Farley	Paul Krugman		"""If you want to talk firsts for Bush, this was the first time in American history that a president took us into a war and cut taxes."""	['Afghanistan', 'Foreign Policy', 'Iraq', 'Military', 'Taxes']	4
2009-11-27	Bill Adair		Catharine Richert	Chain email		"""The Congressional Budget Office -- supposedly non-partisan -- estimates that in just a few years the average cost to every family of four (from cap and trade) will be $6,800 per year."""	['Cap and Trade', 'Climate Change', 'Energy', 'Environment']	1
2009-11-27	Greg Joyce		Louis Jacobson	Ed Schultz		"""Ninety-eight percent of the American people will not see their taxes go up"" due to the House health care bill."	['Health Care', 'Pundits', 'Taxes']	2
2009-11-25	Greg Joyce	Republican	Aaron Sharockman	Marco Rubio	Florida	"""I have never voted for a tax increase."""	['Florida', 'Taxes']	1
2009-11-25	Bill Adair		Louis Jacobson	Chain email		"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option."""	['Health Care', 'Privacy']	0
2009-11-24	Bill Adair	Republican	Angie Drobnic Holan	Jeff Miller	Florida	"""Although Democrats represent only 10 of Florida's 25 districts, their districts received 60 percent of the stimulus funds."""	['Economy', 'Stimulus', 'Workers']	2
2009-11-24	Bill Adair	Republican	Angie Drobnic Holan	Jeff Miller	Florida	"Recovery.gov listed congressional districts that ""do not exist."""	['Economy', 'Stimulus', 'Workers']	4
2009-11-23	Greg Joyce		Catharine Richert	Chain email		Under the cap-and-trade bill, homes would have to be retrofitted to meet energy and water efficiency standards before they could be sold.	['Energy', 'Environment']	0
2009-11-20	Angie Drobnic Holan	Republican	Catharine Richert	John Boehner	Ohio	"Senate health care legislation will ""levy a new 'abortion premium' fee on  Americans in the government-run plan."""	['Abortion']	1
2009-11-20	Greg Joyce	Republican	Robert Farley	Mike Enzi	Wyoming	"The Senate health care bill ""would leave 24 million people without insurance coverage."""	['Health Care']	5
2009-11-20	Bill Adair	Independent	Angie Drobnic Holan	Joe Lieberman	Connecticut	"If you look at last year's presidential campaign, ""you can't find a mention of public option."""	['Health Care']	4
2009-11-20	Bill Adair	Republican	Louis Jacobson	Orrin Hatch	Utah	The Senate health care bill is longer than Tolstoy's 'War and Peace.'	['Health Care']	2
2009-11-19	Greg Joyce		Robert Farley	Chain email		"Obama ""closed offshore tax safe havens."""	['Economy', 'Foreign Policy']	3
2009-11-19	Greg Joyce		Robert Farley	Chain email		"Obama has ""visited more countries and met with more world leaders than any president in his first six months in office."""	['Foreign Policy']	5
2009-11-19	Bill Adair		Angie Drobnic Holan	Recovery.gov		52 jobs have been saved or created in Florida's 34th Congressional District.	['Economy', 'Stimulus']	2
2009-11-18	Greg Joyce	Democrat	Louis Jacobson	Ed Rendell	Pennsylvania	"A small business receiving a federal tax credit ""to provide health care for its employees ... would be barred under the Stupak Amendment from allowing their employees to use ... the health care that they offer them for abortion."""	['Abortion', 'Health Care']	2
2009-11-18	Greg Joyce	Democrat	Louis Jacobson	Ron Wyden	Oregon	"In the House health care bill, ""Something like 2 percent of the people would [be] eligible even to get the public option."""	['Health Care']	1
2009-11-18	Greg Joyce		Catharine Richert	America's Natural Gas Alliance		"The United States has a supply of ""more than 100 years of natural gas."""	['Energy']	3
2009-11-17	Bill Adair	Republican	Louis Jacobson	Sarah Palin	Alaska	"""Ronald Reagan faced an even worse recession"" than the current one."	['Economy', 'History']	1
2009-11-17	Bill Adair	Republican	Robert Farley	Sarah Palin	Alaska	"The McCain campaign ""did not elaborate"" on Obama's ties to ACORN."	['Elections', 'Ethics']	1
2009-11-17	Bill Adair	Republican	Catharine Richert	Sarah Palin	Alaska	"A cap-and-trade plan promoted by Barack Obama would hit hardest ""those already struggling to make ends meet."""	['Cap and Trade', 'Climate Change', 'Energy']	3
2009-11-16	Bill Adair	Republican	Catharine Richert	Sarah Palin	Alaska	"Obama has admitted a cap and trade plan would cause electricity bills to ""skyrocket."""	['Cap and Trade', 'Climate Change', 'Energy', 'Environment']	5
2009-11-16	Bill Adair	Republican	Robert Farley	Sarah Palin	Alaska	"Says she couldn't take  stimulus money because it required ""universal building codes."""	['Energy', 'Federal Budget', 'Stimulus']	1
2009-11-16	Amy Hollyfield		Angie Drobnic Holan, Louis Jacobson	Rachel Maddow		"""The Stupak Amendment doesn't just say you can't use your federal insurance subsidy to pay for an abortion, it says, if you're getting a federal subsidy of any kind, you're not allowed to buy an insurance plan that covers abortion even with your own money."""	['Abortion', 'Health Care', 'Pundits']	2
2009-11-13	Bill Adair	Republican	Angie Drobnic Holan	Sarah Palin	Alaska	"Under the House health care bill, the government ""will have to penalize citizens if we choose not to buy a plan that will cost a minimum of about $15,000 per family per year."""	['Health Care', 'Taxes']	2
2009-11-13	Bill Adair		Catharine Richert	Chain email		"Maj. Nidal Hasan, the man accused of the Fort Hood shootings, ""was an ADVISOR to the Obama Administration."""	['Military', 'Terrorism']	0
2009-11-13	Greg Joyce		Catharine Richert	Diana DeGette		"""The public option is not funded with public money. It's funded with private insurance premiums."""	['Abortion', 'Health Care']	3
2009-11-12	Bill Adair		Robert Farley	Glenn Beck		"""In the health care bill, we're now offering insurance for dogs."""	['Health Care', 'Pundits']	0
2009-11-12	Bill Adair	Democrat	Louis Jacobson	Bob Beckel	Washington, D.C.	"""There were more people at the Air and Space Museum"" than at a rally against the health care bills."	['Health Care', 'Pundits']	3
2009-11-12	Bill Adair		Louis Jacobson	Rush Limbaugh		"The health care bills will be ""mandated spending. You can't cut it, regardless of the budget circumstances."""	['Federal Budget', 'Health Care', 'Pundits']	3
2009-11-11	Bill Adair	Democrat	Angie Drobnic Holan	Loretta Sanchez	California	The House of Representatives does not have a prochoice majority.	['Abortion']	5
2009-11-11	Bill Adair		Robert Farley	Sean Hannity		"""Barack Obama won't even use the term 'war on terrorism.'"""	['Iraq', 'Military', 'Pundits']	5
2009-11-11	Bill Adair		Catharine Richert	Sean Hannity		Guantanamo Bay detainees will get the H1N1 vaccine.	['Health Care', 'Pundits', 'Terrorism']	5
2009-11-11	Greg Joyce	Republican	Aaron Sharockman	C.W. Bill Young	Florida	"Claims that Obama said, ""For those who oppose our policies, you should just shut up and go away."""	['Elections', 'Florida']	1
2009-11-10	Amy Hollyfield	Democrat	Aaron Sharockman	Charlie Crist	Florida	"""I signed the largest single tax cut in the history of Florida, a $25 billion tax cut over five years, directed at property tax cuts."""	['Florida', 'Taxes']	1
2009-11-10	Bill Adair		Louis Jacobson	Planned Parenthood		"""President Obama campaigned on a promise to put reproductive health care at the center of his reform plan."""	['Abortion', 'Health Care']	5
2009-11-10	Bill Adair		Catharine Richert	Glenn Beck		"""Mitt Romney ... gave you government health care that is now bankrupting the state"" of Massachusetts."	['Candidate Biography', 'Health Care', 'Pundits']	1
2009-11-09	Bill Adair	Democrat	Louis Jacobson	Nita Lowey	New York	"An amendment to the House health reform bill ""puts new restrictions on women's access to abortion coverage in the private health insurance market even when they would pay premiums with their own money."""	['Abortion', 'Health Care']	1
2009-11-09	Bill Adair	Democrat	Catharine Richert	Louise Slaughter	New York	Women pay 48 percent more for health insurance.	['Health Care']	2
2009-11-09	Bill Adair	Democrat	Robert Farley	Barack Obama	Illinois	"""History tells us that job growth always lags behind economic growth."""	['Economy']	5
2009-11-06	Bill Adair		Angie Drobnic Holan	Wall Street Journal editorial page		"The House health care bill pays for ""about six years of program with a decade of revenue, with the heaviest costs concentrated in the second five years."""	['Federal Budget', 'Health Care']	3
2009-11-06	Greg Joyce	Republican	Robert Farley	Mike Pence	Indiana	"""As a result of the House Republican bill, the nonpartisan Congressional Budget Office now confirms that families will see their health care premiums reduced by up to 10 percent."""	['Health Care']	3
2009-11-05	Bill Adair		Robert Farley	Americans United for Change		"The Republicans' alternative health care plan ""will still let insurers raise premiums four times faster than wages."""	['Health Care']	1
2009-11-05	Amy Hollyfield, Greg Joyce	Democrat	Aaron Sharockman	Charlie Crist	Florida	"""I didn't endorse"" the federal stimulus bill."	['Economy', 'Stimulus', 'Taxes']	0
2009-11-05	Bill Adair	Democrat	Robert Farley	Debbie Wasserman Schultz	Florida	"The GOP health care plan ""would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition."""	['Health Care']	4
2009-11-04	Bill Adair		Angie Drobnic Holan	House Republican Conference		"Health care reform ""establishes a new board of federal bureaucrats (the 'Health Benefits Advisory Committee') to dictate the health plans that all individuals must purchase."""	['Health Care']	1
2009-11-04	Bill Adair		Robert Farley, Angie Drobnic Holan	House Republican Conference		"Health care reform ""requires the use of federal dollars to fund abortions through the government-run health plan."""	['Abortion', 'Health Care']	3
2009-11-04	Bill Adair		Angie Drobnic Holan	House Republican Conference		"Research shows the employer mandate in the House health reform bill would ""place millions 'at substantial risk of unemployment' — with minority workers losing their jobs at twice the rate of their white counterparts."""	['Health Care', 'Taxes', 'Workers']	3
2009-11-03	Greg Joyce		Robert Farley	Rush Limbaugh		"""That 3.5 percent (increase in the third quarter GDP) came from two things — government spending on Cash for Clunkers — they just moved fourth-quarter auto sales into the third quarter — and the first-time home buyer thing."""	['Economy', 'Pundits', 'Stimulus']	3
2009-11-03	Bill Adair	Republican	Catharine Richert	Michele Bachmann	Minnesota	"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain."""	['Health Care']	0
2009-11-02	Bill Adair	Republican	Louis Jacobson	Tom  McClintock	California	"Three presidents in the last century — Harding, Kennedy and Reagan — all cut taxes during recessions and produced ""rapid and dramatic economic recoveries,"" while two, Herbert Hoover and Barack Obama, did ""the opposite."""	['Economy', 'Federal Budget', 'History', 'Taxes']	1
2009-11-02	Bill Adair		Catharine Richert	Keith Olbermann		"Sen. Joe Lieberman's ""home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor."""	['Health Care', 'Pundits']	4
2009-11-02	Greg Joyce	Democrat	Louis Jacobson	Valerie Jarrett	Illinois	There is majority support for the Democrats' health care plans.	['Health Care']	2
2009-11-02	Bill Adair		Ian Jannetta	Chain email		You must list all your guns on your 2010 tax return.	['Guns', 'Taxes']	0
2009-10-30	Greg Joyce	Democrat	Angie Drobnic Holan	Patrick Kennedy	Rhode Island	"""One-third of the health care dollar goes to no such thing as health care; it goes to the insurance companies."""	['Corporations', 'Health Care']	1
2009-10-30	Greg Joyce		Robert Farley	Bono		"When it comes to aid, ""the United States is still about half as what European countries give as a percentage."""	['Foreign Policy', 'Pop Culture']	3
2009-10-29	Bill Adair	None	Louis Jacobson	Concerned Women for America	Washington, D.C.	"The Democrats' health care bill ""gives a new Health Choices Commissioner the right to look at an individual's tax return to determine what medical benefits or subsidies that person qualifies for."""	['Health Care', 'Taxes']	3
2009-10-29	Greg Joyce	Republican	Angie Drobnic Holan, Alex Leary	Ginny Brown-Waite	Florida	"A president must ""obtain Congress' consent before formally accepting the Nobel Prize."""	['Foreign Policy', 'Legal Issues']	2
2009-10-28	Bill Adair		Catharine Richert	Chain email		"A new federal program provides subsidized ""Obama phones"" with 70 free minutes of cell phone service every month."	['Poverty', 'Taxes']	2
2009-10-28	Greg Joyce	Republican	Angie Drobnic Holan	John Boehner	Ohio	"""Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do."""	['Health Care']	1
2009-10-27	Bill Adair		Louis Jacobson	Bill O'Reilly		"When White House communications director Anita Dunn said that Mao Tse-tung was ""one of her favorite philosophers, only Fox News picked that up."""	['Pundits']	1
2009-10-27	Bill Adair		Catharine Richert	Mary Matalin		"""For the last decade the climate has been cooling."""	['Cap and Trade', 'Climate Change', 'Environment', 'Pundits']	1
2009-10-27	Bill Adair		Angie Drobnic Holan	Rachel Maddow		"""President Bush never did one interview with the New York Times during his entire presidency."""	['Bush Administration', 'Pundits', 'Transparency']	1
2009-10-26	Bill Adair		Louis Jacobson	Bloggers		"Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy."""	['Candidate Biography', 'Legal Issues']	0
2009-10-26	Bill Adair	Democrat	Angie Drobnic Holan	Claire McCaskill	Missouri	"A ""fairly limited number of people, 25 million to 30 million,"" will be allowed to access a national health insurance exchange."	['Health Care']	5
2009-10-26	Greg Joyce	Democrat	Janet Zink	Charlie Crist	Florida	"""Here in Florida, I’ve slashed government by 10 percent. That's $7 billion."""	['State Budget']	2
2009-10-23	Greg Joyce		Robert Farley	Robert Gibbs		"A request for ""an increase in troops sat on desks in this White House (during the presidency of George W. Bush), including the vice president's, for more than eight months, a resource request filled by President Obama in March."""	['Afghanistan', 'Foreign Policy', 'Military']	5
2009-10-23	Bill Adair		Louis Jacobson	Dick Cheney		"The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities ""at the last minute in midnight phone calls."""	['Foreign Policy', 'Military']	5
2009-10-23	Bill Adair	Democrat	Catharine Richert	Charlie Crist	Florida	"""Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month."""	['Florida', 'Health Care']	1
2009-10-22	Greg Joyce	None	Louis Jacobson	Senior Citizens League	Virginia	"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties."""	['Health Care', 'Privacy', 'Technology']	2
2009-10-22	Bill Adair	Republican	Robert Farley	Ann Coulter	New York	"""Husbands rarely beat up their wives. Single women get beaten up more."""	['Crime', 'Pundits']	3
2009-10-22	Bill Adair		Catharine Richert	The Freedom Project		"""Democrats rang up a $1.42 trillion budget deficit in 2009 — the single largest in American history."""	['Economy', 'Federal Budget']	3
2009-10-21	Greg Joyce	Republican	Angie Drobnic Holan	Sarah Palin	Alaska	"The proposed excise tax on ""Cadillac"" health plans will hit ""those making less than $200,000"" the hardest."	['Health Care', 'Taxes']	4
2009-10-21	Greg Joyce	None	Angie Drobnic Holan	Health Care for America Now	Washington, D.C.	"Health proposal would create a ""40% tax on health care benefits of middle-class workers."""	['Health Care', 'Taxes']	2
2009-10-20	Greg Joyce	None	Louis Jacobson	Christopher Monckton	United Kingdom	"If President Obama signs the Copenhagen climate change treaty, he ""will sign your freedom, your democracy, and your prosperity away forever — and neither you nor any subsequent government you may elect would have any power whatsoever to take it back again."""	['Environment', 'Foreign Policy', 'Legal Issues']	0
2009-10-20	Bill Adair	None	Louis Jacobson	Gun Owners of America	Virginia	"The Baucus health care bill ""could be used to ban guns in home self-defense."""	['Guns', 'Health Care']	1
2009-10-20	Bill Adair	Republican	Robert Farley	John Cornyn	Texas	"""The first installment of health care reform ... will raise the deficit by $250 billion."""	['Federal Budget', 'Health Care', 'Medicare']	3
2009-10-19	Bill Adair		Catharine Richert	Lou Dobbs		U.S. taxpayers paid $71,500 per job created by the stimulus bill.	['Economy', 'Pundits', 'Stimulus']	4
2009-10-19	Bill Adair	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"""The Senate Finance Committee approved a reform proposal that has both Democratic and Republican support."""	['Health Care']	2
2009-10-16	Bill Adair		Ian Jannetta	Democratic National Committee		"""Only 20 percent of Americans admit to being Republicans anymore."""	['Elections']	4
2009-10-16	Greg Joyce	None	Louis Jacobson	America's Health Insurance Plans	Washington, D.C.	"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform"	['Health Care', 'Medicare']	3
2009-10-15	Bill Adair		Angie Drobnic Holan	Save Flexible Spending Plans		"The Baucus health care bill ""would drastically restrict the use of flexible spending accounts (FSAs) in order to help pay for health care reform."""	['Taxes']	3
2009-10-15	Bill Adair		Louis Jacobson	Glenn Beck		"Forty-five percent of doctors ""say they'll quit"" if health care reform passes."	['Health Care', 'Pundits']	1
2009-10-14	Greg Joyce		Robert Farley	Chain email		"An Iowa policy ""provides for a state round up of Iowa citizens who might be exposed to the swine flu virus."""	['Health Care']	1
2009-10-14	Bill Adair		Catharine Richert	Chain email		"The Obama White House is renaming Christmas trees ""holiday trees."""	['Religion']	0
2009-10-14	Bill Adair		Robert Farley	Glenn Beck		"""You don't know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s."""	['Health Care', 'Pundits']	2
2009-10-13	Bill Adair		Angie Drobnic Holan	Nancy-Ann DeParle		"A report by the health insurance industry ""ignores some of the key policies that are part of the Senate Finance Committee bill."""	['Health Care']	5
2009-10-13	Bill Adair		Louis Jacobson	Americans United for Change		"""Baseball and insurance are the only industries exempt from antitrust laws."""	['Baseball', 'Health Care']	1
2009-10-12	Greg Joyce		Catharine Richert	Carl Levin		"Other Western countries have ended their ""Don't Ask, Don't Tell"" policies."	['Gays and Lesbians', 'Military']	5
2009-10-09	Greg Joyce		Robert Farley	John Kline		"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime."""	['Crime']	1
2009-10-09	Bill Adair		Louis Jacobson	Bloggers		The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.	['Health Care', 'Taxes']	4
2009-10-08	Bill Adair	Democrat	Catharine Richert	Nancy  Pelosi	California	About 750,000 people die in China each year from auto emissions.	['Environment', 'Foreign Policy', 'Transportation']	2
2009-10-08	Bill Adair		Robert Farley	Michael Moore		"During the Reagan administration, ""Millions of people were thrown out of work."""	['Economy']	2
2009-10-07	Bill Adair		Robert Farley	Michael Moore		"During the Reagan era, while productivity increased, ""wages for working people remained frozen."""	['Economy']	4
2009-10-07	Greg Joyce	Democrat	Louis Jacobson	Jay Rockefeller	West Virginia	Health care premiums for consumers have doubled since 2001.	['Health Care']	5
2009-10-07	Greg Joyce	Democrat	Louis Jacobson	Jay Rockefeller	West Virginia	Insurance companies have seen their profits soar by more than 400 percent since 2001.	['Corporations', 'Health Care']	3
2009-10-07	Greg Joyce		Catharine Richert	PlantsNeedCO2.org		"""Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life."""	['Climate Change', 'Energy', 'Environment']	1
2009-10-06	Greg Joyce	Journalist	Louis Jacobson	Cokie Roberts	Maryland	"Forty percent of gross domestic product ""is state, local, or federal money."""	['Economy', 'Federal Budget', 'Pundits']	4
